,Start Station Name,End Station Name,Start Time (per 30min),Avg_Trip_Duration
181,College Park- Gerrard Entrance,Victoria St / Queen St E,30.0,9.433333333333334
10,1 Market St - SMART,Elm St/ University Ave (East Side),30.0,15.233333333333333
367,Union Station,King St E / Jarvis St,30.0,25.466666666666665
252,King St E / Jarvis St,Victoria St / Queen St E,30.0,7.216666666666667
29,1 Market St - SMART,Victoria St / Queen St E,30.0,8.316666666666666
200,Elm St/ University Ave (East Side),Church St / Alexander St,30.0,7.233333333333333
153,College Park- Gerrard Entrance,Union Station,30.0,10.566666666666666
295,Toronto Eaton Centre (Yonge St),Union Station,30.0,25.183333333333334
229,King St E / Jarvis St,1 Market St - SMART,30.0,4.1
524,Willcocks St / St. George St,Union Station,30.0,17.5
530,Willcocks St / St. George St,University Ave / Armoury St,30.0,8.633333333333333
437,Victoria St / Queen St E,Church St / Alexander St,30.0,7.516666666666667
136,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),31.0,5.683333333333334
290,Toronto Eaton Centre (Yonge St),King St E / Jarvis St,31.0,5.216666666666667
296,Toronto Eaton Centre (Yonge St),Union Station,31.0,9.41
513,Willcocks St / St. George St,College Park- Gerrard Entrance,31.0,9.433333333333334
306,Toronto Eaton Centre (Yonge St),Victoria St / Queen St E,31.0,2.1416666666666666
518,Willcocks St / St. George St,Elm St/ University Ave (East Side),31.0,8.4
154,College Park- Gerrard Entrance,Union Station,31.0,8.6
428,University Ave / Armoury St,Victoria St / Queen St E,31.0,9.133333333333333
438,Victoria St / Queen St E,Church St / Alexander St,31.0,7.141666666666667
368,Union Station,King St E / Jarvis St,31.0,10.491666666666667
475,Victoria St / Queen St E,King St E / Jarvis St,31.0,5.158333333333333
248,King St E / Jarvis St,Union Station,31.0,8.3125
338,Union Station,College Park- Gerrard Entrance,31.0,10.533333333333333
396,Union Station,Victoria St / Queen St E,31.0,15.233333333333333
206,Elm St/ University Ave (East Side),King St E / Jarvis St,31.0,16.666666666666668
525,Willcocks St / St. George St,Union Station,31.0,15.716666666666667
384,Union Station,Toronto Eaton Centre (Yonge St),31.0,8.316666666666666
417,University Ave / Armoury St,Toronto Eaton Centre (Yonge St),31.0,12.983333333333333
54,Church St / Alexander St,King St E / Jarvis St,31.0,9.966666666666667
459,Victoria St / Queen St E,College Park- Gerrard Entrance,31.0,5.291666666666667
531,Willcocks St / St. George St,University Ave / Armoury St,31.0,12.733333333333333
491,Victoria St / Queen St E,Union Station,31.0,6.491666666666667
212,Elm St/ University Ave (East Side),Union Station,31.0,7.883333333333333
406,University Ave / Armoury St,Church St / Alexander St,31.0,23.9
258,Toronto Eaton Centre (Yonge St),1 Market St - SMART,31.0,9.85
419,University Ave / Armoury St,Union Station,32.0,19.083333333333332
429,University Ave / Armoury St,Willcocks St / St. George St,32.0,11.55
369,Union Station,King St E / Jarvis St,32.0,10.783333333333333
404,University Ave / Armoury St,1 Market St - SMART,32.0,10.0
492,Victoria St / Queen St E,Union Station,32.0,4.8
415,University Ave / Armoury St,King St E / Jarvis St,32.0,7.8
191,College Park- Gerrard Entrance,Willcocks St / St. George St,32.0,10.583333333333334
78,Church St / Alexander St,Union Station,32.0,11.566666666666666
213,Elm St/ University Ave (East Side),Union Station,32.0,7.283333333333333
217,Elm St/ University Ave (East Side),University Ave / Armoury St,32.0,2.65
439,Victoria St / Queen St E,Church St / Alexander St,32.0,6.63
249,King St E / Jarvis St,Union Station,32.0,4.166666666666667
42,Church St / Alexander St,College Park- Gerrard Entrance,32.0,4.1
137,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),32.0,3.3
504,Willcocks St / St. George St,Church St / Alexander St,32.0,9.816666666666666
111,College Park- Gerrard Entrance,Church St / Alexander St,32.0,5.516666666666667
259,Toronto Eaton Centre (Yonge St),1 Market St - SMART,32.0,7.95
307,Toronto Eaton Centre (Yonge St),Victoria St / Queen St E,32.0,3.0666666666666664
339,Union Station,College Park- Gerrard Entrance,33.0,11.766666666666666
397,Union Station,Victoria St / Queen St E,33.0,6.433333333333334
82,Church St / Alexander St,University Ave / Armoury St,33.0,11.066666666666666
214,Elm St/ University Ave (East Side),Union Station,33.0,8.491666666666667
192,College Park- Gerrard Entrance,Willcocks St / St. George St,33.0,12.016666666666666
493,Victoria St / Queen St E,Union Station,33.0,7.8999999999999995
182,College Park- Gerrard Entrance,Victoria St / Queen St E,33.0,3.9
440,Victoria St / Queen St E,Church St / Alexander St,33.0,7.877777777777777
308,Toronto Eaton Centre (Yonge St),Victoria St / Queen St E,33.0,10.4
230,King St E / Jarvis St,1 Market St - SMART,33.0,2.1333333333333333
55,Church St / Alexander St,King St E / Jarvis St,33.0,10.95
155,College Park- Gerrard Entrance,Union Station,33.0,13.133333333333333
297,Toronto Eaton Centre (Yonge St),Union Station,33.0,7.955555555555556
138,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),33.0,5.65
