Start Station Name,Start Time (minutes),1 Market St - SMART,Church St / Alexander St,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),King St E / Jarvis St,Toronto Eaton Centre (Yonge St),Union Station,University Ave / Armoury St,Victoria St / Queen St E,Willcocks St / St. George St
Victoria St / Queen St E,35.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),35.0,0.0,0.125,0.25,0.0,0.125,0.0,0.375,0.0,0.125,0.0
College Park- Gerrard Entrance,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.2
Church St / Alexander St,35.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0
Willcocks St / St. George St,35.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
College Park- Gerrard Entrance,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
Toronto Eaton Centre (Yonge St),36.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Union Station,36.0,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
King St E / Jarvis St,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,36.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,36.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1 Market St - SMART,36.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Willcocks St / St. George St,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),36.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Church St / Alexander St,37.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25
King St E / Jarvis St,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Victoria St / Queen St E,37.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
College Park- Gerrard Entrance,37.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
1 Market St - SMART,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Union Station,37.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Willcocks St / St. George St,37.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Victoria St / Queen St E,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willcocks St / St. George St,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
King St E / Jarvis St,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
College Park- Gerrard Entrance,38.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
1 Market St - SMART,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Union Station,38.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),38.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Church St / Alexander St,39.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
College Park- Gerrard Entrance,39.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
Victoria St / Queen St E,39.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1 Market St - SMART,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
