,Trip Id,Trip_Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,NumOfTrips,Start Time (minutes),End Time (minutes),Start Time (per 30min),End Time (per 30min)
434,18083309,5.216666666666667,7033,2022-08-23 06:29:00,Union Station,7009.0,2022-08-23 06:34:00,King St E / Jarvis St,3342,Casual Member,52,389,394,12.0,13.0
450,18291421,4.2,7033,2022-08-31 06:27:00,Union Station,7009.0,2022-08-31 06:31:00,King St E / Jarvis St,2022,Casual Member,52,387,391,12.0,13.0
77,17883519,2.3833333333333333,7389,2022-08-15 06:40:00,College Park- Gerrard Entrance,7269.0,2022-08-15 06:42:00,Toronto Eaton Centre (Yonge St),6310,Casual Member,24,400,402,13.0,13.0
286,17856282,7.1,7033,2022-08-14 06:34:00,Union Station,7647.0,2022-08-14 06:41:00,Elm St/ University Ave (East Side),3447,Annual Member,29,394,401,13.0,13.0
262,18187968,3.8666666666666667,7389,2022-08-27 06:37:00,College Park- Gerrard Entrance,7406.0,2022-08-27 06:41:00,Victoria St / Queen St E,3068,Casual Member,59,397,401,13.0,13.0
187,17741437,4.733333333333333,7044,2022-08-10 06:51:00,Church St / Alexander St,7406.0,2022-08-10 06:56:00,Victoria St / Queen St E,4290,Casual Member,38,411,416,13.0,13.0
435,18083313,4.333333333333333,7033,2022-08-23 06:30:00,Union Station,7009.0,2022-08-23 06:34:00,King St E / Jarvis St,1361,Casual Member,52,390,394,13.0,13.0
181,17591138,4.166666666666667,7044,2022-08-04 06:48:00,Church St / Alexander St,7406.0,2022-08-04 06:52:00,Victoria St / Queen St E,5188,Casual Member,38,408,412,13.0,13.0
179,17541046,4.983333333333333,7044,2022-08-02 06:50:00,Church St / Alexander St,7406.0,2022-08-02 06:55:00,Victoria St / Queen St E,4895,Casual Member,38,410,415,13.0,13.0
162,17795860,2.1,7269,2022-08-12 06:42:00,Toronto Eaton Centre (Yonge St),7406.0,2022-08-12 06:44:00,Victoria St / Queen St E,2139,Annual Member,18,402,404,13.0,13.0
74,17795925,2.1,7389,2022-08-12 06:47:00,College Park- Gerrard Entrance,7269.0,2022-08-12 06:49:00,Toronto Eaton Centre (Yonge St),546,Casual Member,24,407,409,13.0,13.0
188,17768804,4.3,7044,2022-08-11 06:51:00,Church St / Alexander St,7406.0,2022-08-11 06:55:00,Victoria St / Queen St E,2966,Casual Member,38,411,415,13.0,13.0
82,18083444,3.05,7389,2022-08-23 06:45:00,College Park- Gerrard Entrance,7269.0,2022-08-23 06:48:00,Toronto Eaton Centre (Yonge St),3895,Casual Member,24,405,408,13.0,13.0
233,17908994,3.35,7389,2022-08-16 06:51:00,College Park- Gerrard Entrance,7406.0,2022-08-16 06:55:00,Victoria St / Queen St E,3224,Annual Member,59,411,415,13.0,13.0
196,17909046,4.566666666666666,7044,2022-08-16 06:56:00,Church St / Alexander St,7406.0,2022-08-16 07:01:00,Victoria St / Queen St E,4182,Casual Member,38,416,421,13.0,14.0
191,17796010,4.333333333333333,7044,2022-08-12 06:54:00,Church St / Alexander St,7406.0,2022-08-12 06:58:00,Victoria St / Queen St E,7062,Casual Member,38,414,418,13.0,13.0
594,18291720,11.3,7389,2022-08-31 06:56:00,College Park- Gerrard Entrance,7033.0,2022-08-31 07:07:00,Union Station,5107,Annual Member,31,416,427,13.0,14.0
584,18109981,9.966666666666667,7389,2022-08-24 06:57:00,College Park- Gerrard Entrance,7033.0,2022-08-24 07:07:00,Union Station,4279,Annual Member,31,417,427,13.0,14.0
270,18270782,3.4,7389,2022-08-30 06:57:00,College Park- Gerrard Entrance,7406.0,2022-08-30 07:00:00,Victoria St / Queen St E,22,Annual Member,59,417,420,13.0,14.0
197,17935977,4.65,7044,2022-08-17 06:57:00,Church St / Alexander St,7406.0,2022-08-17 07:02:00,Victoria St / Queen St E,4168,Casual Member,38,417,422,13.0,14.0
225,17741535,3.5,7389,2022-08-10 06:58:00,College Park- Gerrard Entrance,7406.0,2022-08-10 07:01:00,Victoria St / Queen St E,2762,Annual Member,59,418,421,13.0,14.0
224,17715362,4.2,7389,2022-08-09 06:59:00,College Park- Gerrard Entrance,7406.0,2022-08-09 07:03:00,Victoria St / Queen St E,5580,Annual Member,59,419,423,13.0,14.0
198,17962669,4.066666666666666,7044,2022-08-18 06:57:00,Church St / Alexander St,7406.0,2022-08-18 07:01:00,Victoria St / Queen St E,3229,Casual Member,38,417,421,13.0,14.0
207,18137024,4.95,7044,2022-08-25 06:53:00,Church St / Alexander St,7406.0,2022-08-25 06:58:00,Victoria St / Queen St E,5864,Casual Member,38,413,418,13.0,13.0
575,17909130,9.05,7389,2022-08-16 07:01:00,College Park- Gerrard Entrance,7033.0,2022-08-16 07:10:00,Union Station,3784,Annual Member,31,421,430,14.0,14.0
129,18270806,4.933333333333334,7269,2022-08-30 07:00:00,Toronto Eaton Centre (Yonge St),7033.0,2022-08-30 07:05:00,Union Station,2529,Casual Member,18,420,425,14.0,14.0
855,17768924,4.166666666666667,7269,2022-08-11 07:00:00,Toronto Eaton Centre (Yonge St),7647.0,2022-08-11 07:04:00,Elm St/ University Ave (East Side),5969,Casual Member,1,420,424,14.0,14.0
180,17567180,3.75,7044,2022-08-03 07:09:00,Church St / Alexander St,7406.0,2022-08-03 07:13:00,Victoria St / Queen St E,2728,Casual Member,38,429,433,14.0,14.0
246,18068686,3.9,7389,2022-08-22 07:02:00,College Park- Gerrard Entrance,7406.0,2022-08-22 07:06:00,Victoria St / Queen St E,2580,Annual Member,59,422,426,14.0,14.0
273,18291787,3.3666666666666667,7389,2022-08-31 07:04:00,College Park- Gerrard Entrance,7406.0,2022-08-31 07:07:00,Victoria St / Queen St E,2981,Annual Member,59,424,427,14.0,14.0
237,17962703,4.45,7389,2022-08-18 07:00:00,College Park- Gerrard Entrance,7406.0,2022-08-18 07:05:00,Victoria St / Queen St E,1300,Annual Member,59,420,425,14.0,14.0
572,17883808,6.8999999999999995,7389,2022-08-15 07:04:00,College Park- Gerrard Entrance,7033.0,2022-08-15 07:10:00,Union Station,6520,Annual Member,31,424,430,14.0,14.0
241,17988879,4.583333333333333,7389,2022-08-19 07:06:00,College Park- Gerrard Entrance,7406.0,2022-08-19 07:11:00,Victoria St / Queen St E,2717,Annual Member,59,426,431,14.0,14.0
250,18083658,3.4166666666666665,7389,2022-08-23 07:03:00,College Park- Gerrard Entrance,7406.0,2022-08-23 07:07:00,Victoria St / Queen St E,3269,Annual Member,59,423,427,14.0,14.0
227,17768963,3.683333333333333,7389,2022-08-11 07:03:00,College Park- Gerrard Entrance,7406.0,2022-08-11 07:07:00,Victoria St / Queen St E,439,Annual Member,59,423,427,14.0,14.0
256,18137121,3.7333333333333334,7389,2022-08-25 07:07:00,College Park- Gerrard Entrance,7406.0,2022-08-25 07:11:00,Victoria St / Queen St E,4433,Annual Member,59,427,431,14.0,14.0
222,17696277,3.1,7389,2022-08-08 07:00:00,College Park- Gerrard Entrance,7406.0,2022-08-08 07:03:00,Victoria St / Queen St E,4683,Annual Member,59,420,423,14.0,14.0
185,17715508,4.2,7044,2022-08-09 07:10:00,Church St / Alexander St,7406.0,2022-08-09 07:15:00,Victoria St / Queen St E,310,Casual Member,38,430,435,14.0,14.0
204,18083805,4.45,7044,2022-08-23 07:14:00,Church St / Alexander St,7406.0,2022-08-23 07:18:00,Victoria St / Queen St E,3380,Casual Member,38,434,438,14.0,14.0
217,17541294,3.283333333333333,7389,2022-08-02 07:10:00,College Park- Gerrard Entrance,7406.0,2022-08-02 07:13:00,Victoria St / Queen St E,2773,Annual Member,59,430,433,14.0,14.0
218,17567201,3.3,7389,2022-08-03 07:11:00,College Park- Gerrard Entrance,7406.0,2022-08-03 07:14:00,Victoria St / Queen St E,4210,Annual Member,59,431,434,14.0,14.0
212,18160743,5.133333333333333,7044,2022-08-26 07:12:00,Church St / Alexander St,7406.0,2022-08-26 07:17:00,Victoria St / Queen St E,4453,Casual Member,38,432,437,14.0,14.0
260,18160724,3.2,7389,2022-08-26 07:11:00,College Park- Gerrard Entrance,7406.0,2022-08-26 07:14:00,Victoria St / Queen St E,1025,Annual Member,59,431,434,14.0,14.0
219,17591524,4.016666666666667,7389,2022-08-04 07:19:00,College Park- Gerrard Entrance,7406.0,2022-08-04 07:23:00,Victoria St / Queen St E,1903,Annual Member,59,439,443,14.0,14.0
242,17988986,5.366666666666666,7389,2022-08-19 07:14:00,College Park- Gerrard Entrance,7406.0,2022-08-19 07:20:00,Victoria St / Queen St E,3817,Annual Member,59,434,440,14.0,14.0
201,17989063,5.2,7044,2022-08-19 07:20:00,Church St / Alexander St,7406.0,2022-08-19 07:25:00,Victoria St / Queen St E,822,Casual Member,38,440,445,14.0,14.0
85,18188173,2.283333333333333,7389,2022-08-27 07:23:00,College Park- Gerrard Entrance,7269.0,2022-08-27 07:25:00,Toronto Eaton Centre (Yonge St),742,Annual Member,24,443,445,14.0,14.0
75,17824084,2.466666666666667,7389,2022-08-13 07:23:00,College Park- Gerrard Entrance,7269.0,2022-08-13 07:26:00,Toronto Eaton Centre (Yonge St),3577,Annual Member,24,443,446,14.0,14.0
200,17989020,10.216666666666667,7044,2022-08-19 07:17:00,Church St / Alexander St,7406.0,2022-08-19 07:28:00,Victoria St / Queen St E,6186,Annual Member,38,437,448,14.0,14.0
199,17962853,12.9,7044,2022-08-18 07:10:00,Church St / Alexander St,7406.0,2022-08-18 07:23:00,Victoria St / Queen St E,5686,Annual Member,38,430,443,14.0,14.0
365,17936681,7.216666666666667,7033,2022-08-17 07:43:00,Union Station,7389.0,2022-08-17 07:50:00,College Park- Gerrard Entrance,7058,Casual Member,26,463,470,15.0,15.0
364,17909586,11.1,7033,2022-08-16 07:30:00,Union Station,7389.0,2022-08-16 07:41:00,College Park- Gerrard Entrance,765,Annual Member,26,450,461,15.0,15.0
856,17769398,6.416666666666667,7044,2022-08-11 07:34:00,Church St / Alexander St,7647.0,2022-08-11 07:40:00,Elm St/ University Ave (East Side),6836,Annual Member,2,454,460,15.0,15.0
251,18084097,4.383333333333333,7389,2022-08-23 07:34:00,College Park- Gerrard Entrance,7406.0,2022-08-23 07:38:00,Victoria St / Queen St E,2108,Annual Member,59,454,458,15.0,15.0
551,18110582,2.8833333333333333,7657,2022-08-24 07:37:00,1 Market St - SMART,7009.0,2022-08-24 07:40:00,King St E / Jarvis St,3207,Casual Member,9,457,460,15.0,15.0
647,18084295,13.25,7657,2022-08-23 07:45:00,1 Market St - SMART,7647.0,2022-08-23 07:59:00,Elm St/ University Ave (East Side),2882,Annual Member,11,465,479,15.0,15.0
88,18271430,2.2666666666666666,7389,2022-08-30 07:44:00,College Park- Gerrard Entrance,7269.0,2022-08-30 07:46:00,Toronto Eaton Centre (Yonge St),3838,Casual Member,24,464,466,15.0,15.0
725,18084304,3.7333333333333334,7406,2022-08-23 07:46:00,Victoria St / Queen St E,7033.0,2022-08-23 07:49:00,Union Station,4787,Annual Member,20,466,469,15.0,15.0
478,18271629,6.733333333333333,7406,2022-08-30 07:54:00,Victoria St / Queen St E,7389.0,2022-08-30 08:00:00,College Park- Gerrard Entrance,1524,Annual Member,31,474,480,15.0,16.0
182,17592214,5.55,7044,2022-08-04 07:57:00,Church St / Alexander St,7406.0,2022-08-04 08:02:00,Victoria St / Queen St E,5890,Casual Member,38,477,482,15.0,16.0
264,18220288,4.25,7389,2022-08-28 07:34:00,College Park- Gerrard Entrance,7406.0,2022-08-28 07:39:00,Victoria St / Queen St E,1833,Annual Member,59,454,459,15.0,15.0
710,18272071,9.6,7033,2022-08-30 08:13:00,Union Station,7406.0,2022-08-30 08:23:00,Victoria St / Queen St E,1216,Annual Member,8,493,503,16.0,16.0
